mes_ref;company_id;tipo_doc;max_valor_boleto;avg_valor_boleto;total_valor_boleto;valor_boleto_stdv;qtd_boleto_pago;qtd_boleto_total;qtd_boleto_estorno;qnt_cc_total;tempo_credenciamento;conta_bnk_repetida;fraude
01/09/2020;5ebbee04e480064a2f8587bc;cnpj;123;123;123;0;0;1;0;31;9;0;0
01/10/2020;5f382ac467c8392d768159d9;cpf;"37592,36";"22098,64";"220986,48";"11387,55";0;10;1;0;5;1;0
01/10/2020;5f6cda3d3a47c32f4779396d;cpf;"15503,5";"2397,52";"69528,14";"2972,33";1;29;7;0;4;1;1
01/10/2020;5f070b314f4b0c2f9677b26b;cnpj;300;250;500;"70,71";2;2;0;11;8;0;0
01/01/2020;5e0eb0115e364024155a696c;cpf;"597,95";"323,6";"1294,41";"205,39";0;4;0;3;14;0;0
01/03/2020;5e7b47a366a2e47156772fad;cnpj;278;"215,6";2156;"37,73";8;10;0;10;11;0;0
01/03/2020;5e78c7d101e84d486076b16f;cnpj;"199,99";"99,5";"1890,59";"33,17";5;19;0;0;11;0;0
01/03/2020;5e7524bd59193c2f123c14da;cnpj;275;"202,5";405;"102,53";0;2;0;12;11;0;0
01/03/2020;5e6fafc7d5511d6da34fb7a5;cnpj;112;"62,5";125;70;2;2;0;2;11;0;0
01/04/2020;5e7e15b269ae225e46e51e1f;cnpj;"59,8";"59,8";"59,8";0;1;1;0;15;11;0;0
01/04/2020;5e8395f30befe84e6fcbd0b0;cnpj;95;95;95;0;0;1;0;5;11;0;0
01/05/2020;5e7bc7b03c9468259a3cb52b;cnpj;422;422;422;0;1;1;0;2;11;0;0
01/05/2020;5e8e031731d5b30de6ec0dfc;cnpj;"100,11";"44,82";"313,75";"36,04";7;7;0;35;11;0;0
01/05/2020;5e83773e7107b87d2dac4623;cnpj;380;"264,44";2380;"110,24";5;9;0;1;11;0;0
01/02/2020;5e27617ca44f284b1c28e011;cnpj;125;125;125;0;1;1;0;14;13;0;0
01/01/2020;5e1de16d93360960a48964cd;cpf;200;"133,33";400;"57,74";1;3;0;33;11;0;0
01/04/2020;5e74da2bde54c630455c98b6;cnpj;490;490;490;0;1;1;0;59;11;0;0
01/04/2020;5e863997073b7f6e4018faae;cpf;200;200;1400;0;3;7;0;7;11;0;0
01/04/2020;5e8e2fc4ad6808537c79bb1f;cnpj;90;"67,5";1080;"20,49";7;16;0;19;11;0;0
01/04/2020;5e8ca59dd7a237656d599606;cnpj;377;307;614;"98,99";2;2;0;91;11;0;0
01/04/2020;5e888919073b7f6e40190153;cnpj;"94,3";"66,36";"199,1";"34,36";3;3;0;94;11;0;0
01/04/2020;5e947cd8ec1a201e210a5d57;cnpj;"105,9";"105,9";"105,9";0;1;1;0;2;10;0;0
01/05/2020;5e7158501bc1f32a438adf2a;cnpj;"146,35";"97,64";"585,89";"35,27";6;6;0;78;11;0;0
01/05/2020;5e8d232413f3163ee1be0fd1;cnpj;30;30;2100;0;53;70;0;0;11;0;0
01/05/2020;5ec44e3ce31a692321d4d309;cnpj;139;"97,5";195;"58,69";1;2;0;22;9;0;0
01/05/2020;5e774bbd82f3d31f6546f54b;cnpj;850;850;850;0;1;1;0;4;11;0;0
01/05/2020;5e7958f935e1142fc702f65a;cpf;250;250;250;0;1;1;0;34;11;0;0
01/08/2020;5ede9da95dc13558375cea99;cnpj;"269,9";"269,9";"269,9";0;1;1;0;9;9;0;0
01/08/2020;5eed13af012b3522610978f5;cnpj;162;"142,4";"284,8";"27,72";2;2;0;2;8;0;0
